7.1848 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
91.0156 	EXP 	fixation: autoDraw = True
92.0154 	EXP 	fixation: autoDraw = False
92.0154 	EXP 	text: autoDraw = True
95.0002 	EXP 	New trial (rep=3, index=3): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
95.0083 	DATA 	Keypress: l
95.0143 	EXP 	fixation: autoDraw = False
95.0143 	EXP 	text: autoDraw = False
95.0143 	EXP 	text: height = 0.05
95.0143 	EXP 	text: height = 0.05
95.0143 	EXP 	text: height = 0.05
95.0143 	EXP 	text: text = 'GBP 11 today or  GBP30 after 7 days'
95.0143 	EXP 	fixation: autoDraw = True
96.0141 	EXP 	fixation: autoDraw = False
96.0141 	EXP 	text: autoDraw = True
97.4829 	EXP 	New trial (rep=3, index=4): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
97.4936 	DATA 	Keypress: t
97.4971 	EXP 	fixation: autoDraw = False
97.4971 	EXP 	text: autoDraw = False
97.4971 	EXP 	text: height = 0.05
97.4971 	EXP 	text: height = 0.05
97.4971 	EXP 	text: height = 0.05
97.4971 	EXP 	text: text = 'GBP 49 today or  GBP60 after 89 days'
97.4971 	EXP 	fixation: autoDraw = True
98.4966 	EXP 	fixation: autoDraw = False
98.4966 	EXP 	text: autoDraw = True
99.9000 	DATA 	Keypress: l
99.9148 	EXP 	New trial (rep=3, index=5): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
99.9294 	EXP 	fixation: autoDraw = False
99.9294 	EXP 	text: autoDraw = False
99.9294 	EXP 	text: height = 0.05
99.9294 	EXP 	text: height = 0.05
99.9294 	EXP 	text: height = 0.05
99.9294 	EXP 	text: text = 'GBP 15 today or  GBP35 after 13 days'
99.9294 	EXP 	fixation: autoDraw = True
100.9291 	EXP 	fixation: autoDraw = False
100.9291 	EXP 	text: autoDraw = True
105.2134 	EXP 	New trial (rep=3, index=6): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
105.2212 	DATA 	Keypress: t
105.2276 	EXP 	fixation: autoDraw = False
105.2276 	EXP 	text: autoDraw = False
105.2276 	EXP 	text: height = 0.05
105.2276 	EXP 	text: height = 0.05
105.2276 	EXP 	text: height = 0.05
105.2276 	EXP 	text: text = 'GBP 40 today or  GBP55 after 62 days'
105.2276 	EXP 	fixation: autoDraw = True
106.2273 	EXP 	fixation: autoDraw = False
106.2273 	EXP 	text: autoDraw = True
108.4621 	EXP 	New trial (rep=4, index=0): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
108.4703 	DATA 	Keypress: l
108.4765 	EXP 	fixation: autoDraw = False
108.4765 	EXP 	text: autoDraw = False
108.4765 	EXP 	text: height = 0.05
108.4765 	EXP 	text: height = 0.05
108.4765 	EXP 	text: height = 0.05
108.4765 	EXP 	text: text = 'GBP 49 today or  GBP60 after 89 days'
108.4765 	EXP 	fixation: autoDraw = True
109.4762 	EXP 	fixation: autoDraw = False
109.4762 	EXP 	text: autoDraw = True
113.7439 	EXP 	New trial (rep=4, index=1): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
113.7526 	DATA 	Keypress: l
113.7579 	EXP 	fixation: autoDraw = False
113.7579 	EXP 	text: autoDraw = False
113.7579 	EXP 	text: height = 0.05
113.7579 	EXP 	text: height = 0.05
113.7579 	EXP 	text: height = 0.05
113.7579 	EXP 	text: text = 'GBP 40 today or  GBP55 after 62 days'
113.7579 	EXP 	fixation: autoDraw = True
114.7577 	EXP 	fixation: autoDraw = False
114.7577 	EXP 	text: autoDraw = True
117.1106 	DATA 	Keypress: l
117.1255 	EXP 	New trial (rep=4, index=2): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
117.1403 	EXP 	fixation: autoDraw = False
117.1403 	EXP 	text: autoDraw = False
117.1403 	EXP 	text: height = 0.05
117.1403 	EXP 	text: height = 0.05
117.1403 	EXP 	text: height = 0.05
117.1403 	EXP 	text: text = 'GBP 78 today or  GBP80 after 162 days'
117.1403 	EXP 	fixation: autoDraw = True
118.1399 	EXP 	fixation: autoDraw = False
118.1399 	EXP 	text: autoDraw = True
119.0091 	EXP 	New trial (rep=4, index=3): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
119.0174 	DATA 	Keypress: l
119.0229 	EXP 	fixation: autoDraw = False
119.0229 	EXP 	text: autoDraw = False
119.0229 	EXP 	text: height = 0.05
119.0229 	EXP 	text: height = 0.05
119.0229 	EXP 	text: height = 0.05
119.0229 	EXP 	text: text = 'GBP 27 today or  GBP50 after 21 days'
119.0229 	EXP 	fixation: autoDraw = True
120.0227 	EXP 	fixation: autoDraw = False
120.0227 	EXP 	text: autoDraw = True
121.2917 	EXP 	New trial (rep=4, index=4): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
121.3004 	DATA 	Keypress: t
121.3055 	EXP 	fixation: autoDraw = False
121.3055 	EXP 	text: autoDraw = False
121.3055 	EXP 	text: height = 0.05
121.3055 	EXP 	text: height = 0.05
121.3055 	EXP 	text: height = 0.05
121.3055 	EXP 	text: text = 'GBP 11 today or  GBP30 after 7 days'
121.3055 	EXP 	fixation: autoDraw = True
122.3052 	EXP 	fixation: autoDraw = False
122.3052 	EXP 	text: autoDraw = True
127.5895 	EXP 	New trial (rep=4, index=5): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
127.5981 	DATA 	Keypress: l
127.6033 	EXP 	fixation: autoDraw = False
